user_id,name,email,timestamp
1,Rahul Sharma,rahul.sharma@example.com,2024-09-20 10:30:15
2,Priya Patel,priya.patel@example.com,2024-09-20 11:45:30
3,Amit Kumar,amit.kumar@example,2024-09-20 12:15:45
4,Sneha Reddy,sneha.reddy@example.com,2024-09-20 13:20:00
5,Vikram Singh,vikram.singh@example.com,2024-09-20 14:10:30
1,Rahul Sharma,rahul.sharma@example.com,2024-09-20 15:05:45
6,Neha Gupta,neha.gupta@example.com,2024-09-20 16:30:00
7,Raj Malhotra,raj.malhotra@example.com,2024-09-20 17:45:15
8,Anita Desai,anita.desai@example..com,2024-09-20 18:20:30
9,Suresh Verma,suresh.verma@example.com,2024-09-20 19:10:45
2,Priya Patel,updated.priya@example.com,2024-09-20 20:05:00
10,Kavita Rao,kavita.rao@examplecom,2024-09-20 21:15:30
